Epoch,Loss,PSNR,SSIM,LearningRate
0,0.013190971628773696,19.467302322387695,0.0,0.0001
1,0.0059654277238223585,22.324981689453125,0.0,0.0001
2,0.003979040643685039,24.091129302978516,0.0,0.0001
3,0.0030565400952582422,25.232336044311523,0.0,0.0001
4,0.0026947279733349205,25.769336700439453,0.0,0.0001
5,0.002413150431380018,26.253496170043945,0.0,0.0001
6,0.001501877405473806,28.38953971862793,0.0,0.0001
7,0.000925829226517294,30.426929473876953,0.0,0.0001
8,0.0008044232578470201,31.03207015991211,0.0,0.0001
9,0.0007209414189048857,31.508508682250977,0.0,0.0001
10,0.0006699962627294553,31.82439422607422,0.0,0.0001
11,0.0006023115169710991,32.29132080078125,0.0,0.0001
12,0.0005465701818962998,32.710018157958984,0.0,0.0001
13,0.0004994232565564971,33.104373931884766,0.0,0.0001
14,0.00046827866614052027,33.3891487121582,0.0,0.0001
15,0.0004486795448599423,33.5765380859375,0.0,0.0001
16,0.0004301951082084088,33.7613410949707,0.0,0.0001
17,0.00041281212358512676,33.941890716552734,0.0,0.0001
18,0.00040129443959813216,34.06839370727539,0.0,0.0001
19,0.0003934400101215374,34.1561164855957,0.0,0.0001
20,0.0003844536564869827,34.25498580932617,0.0,0.0001
21,0.00037945619313717316,34.321128845214844,0.0,0.0001
22,0.00037564556540559124,34.3625373840332,0.0,0.0001
23,0.0003756937846475239,34.355857849121094,0.0,0.0001
24,0.00036712586672393854,34.45897674560547,0.0,0.0001
25,0.00036799128856301877,34.44812774658203,0.0,0.0001
26,0.00036375475686156733,34.49617004394531,0.0,0.0001
27,0.00036020700043337683,34.54589080810547,0.0,0.0001
28,0.0003532895738374009,34.63383102416992,0.0,0.0001
29,0.00035826755375722996,34.563140869140625,0.0,0.0001
30,0.00035570488951464085,34.59859085083008,0.0,0.0001
31,0.0003543898847127025,34.619529724121094,0.0,0.0001
32,0.00035600370562960393,34.596927642822266,0.0,0.0001
33,0.00035303351518933823,34.63056564331055,0.0,0.0001
34,0.00035291760337941014,34.629520416259766,0.0,0.0001
35,0.00035369652861305667,34.626094818115234,0.0,0.0001
36,0.00035176622018084913,34.64596939086914,0.0,0.0001
37,0.0003495463655127651,34.67772674560547,0.0,0.0001
38,0.0003498275374909099,34.67429733276367,0.0,0.0001
39,0.0003502551979508439,34.66734313964844,0.0,0.0001
40,0.00034862195182228106,34.68773651123047,0.0,0.0001
41,0.00034754985690454987,34.696720123291016,0.0,0.0001
42,0.00034263388985777965,34.76251983642578,0.0,0.0001
43,0.0003477513603549198,34.692726135253906,0.0,0.0001
44,0.00034670830908112293,34.71530532836914,0.0,0.0001
45,0.0003441853486911839,34.744415283203125,0.0,0.0001
46,0.0003435640208877544,34.749107360839844,0.0,0.0001
47,0.00034400507485798926,34.74870300292969,0.0,0.0001
48,0.0003466780415521953,34.71023941040039,0.0,0.0001
49,0.00033823644329089575,34.8126335144043,0.0,0.0001
